,title,subtitles,links
0,FURIOUS GOONERS,Arsenal fans say 'game is rigged' as Kovacic avoids red after VAR check,https://www.thesun.co.uk/sport/24329740/arsenal-man-city-mateokovacic-red-card/
1,UGLY SCENES,Haaland and Walker caught up in furious clash with Arsenal backroom staff,https://www.thesun.co.uk/sport/24330436/erling-haaland-kyle-walker-arsenal-manchester-city/
2,WIL HE WONT HE,Arsenal suffer injury blow as William Saliba withdraws from France squad,https://www.thesun.co.uk/sport/24330824/arsenal-william-saliba-injury-man-city-france/
3,GUN OFF,Arsenal fan THROWN OUT of Emirates for 'squaring up' to former Gunners star,https://www.thesun.co.uk/sport/24329932/arsenal-fan-thrown-out-emirates-squaring-nasri/
4,ARSENAL PLAYER RATINGS,Saliba doesn't allow Erling Haaland a touch but Trossard struggles,https://www.thesun.co.uk/sport/24330113/arsenal-player-ratings-saliba-erling-haaland-trossard-martinelli/
5,WEST HAM 2 NEWCASTLE 2,Mohammed Kudus bags first Premier League goal late on,https://www.thesun.co.uk/sport/24298216/west-ham-vs-newcastle-live-score-latest-premier-league-updates/
6,GREEN LIGHT,Mason Greenwood SCORES first goal in 628 days for Getafe,https://www.thesun.co.uk/sport/24330116/mason-greenwood-goal-getafe/
7,NEW LOOK,Fans divided by huge Sky Sports change for Arsenal vs Man City with some 'seasick',https://www.thesun.co.uk/sport/24329743/arsenal-man-city-game-mode-camera-sky-sports-reaction/
8,RAY OF LIGHT,Former Arsenal star says Ramsdale is 'dancing on the bench' after Raya clanger,https://www.thesun.co.uk/sport/24329967/theo-walcott-david-raya-aaron-ramsdale/
9,LO AND BEHOLD,Former Chelsea star RETIRES from football at 36 after incredible career,https://www.thesun.co.uk/sport/24329438/chelsea-loic-remy-retires-newcastle-crystal-palace-qpr/
10,,Sky Sports commit shock blunder as they announce Bowen signs new MAN UTD deal,https://www.thesun.co.uk/sport/24328560/sky-sports-jarrod-bowen-manchester-united-west-ham/
11,THAT'S ZLAT,Zlatan Ibrahimovic reveals what Wenger said to make Arsenal transfer collapse,https://www.thesun.co.uk/sport/24329472/zlatan-ibrahimovic-wenger-arsenal-no9-piers-morgan/
12,'GOLD',Spanish club releases goal celebration clip with playing simulating rude sex act,https://www.thesun.co.uk/sport/24329542/football-news-cd-guadalajara-goal-video-sex-act/
13,DERBY DAY,Diletta Leotta puts on leggy display with stunning look to present huge derby,https://www.thesun.co.uk/sport/24328906/tv-host-diletta-leotta-juventus-torino/
14,CAUGHT OUT,Watch Alisson 'pay tribute to Onana' with 'embarrassing' howler at Brighton,https://www.thesun.co.uk/sport/24328742/alisson-liverpool-mistake-simon-adingra/
15,HE'S A KEEPER,AC Milan make hilarious change to squad list after Giroud's incredible cameo,https://www.thesun.co.uk/sport/24328887/ac-milan-arsenal-chelsea-olivier-giroud-genoa/
16,WOLVES 1 VILLA 1,Pau Torres scores first goal seconds after Hwang opener as rivals draw,https://www.thesun.co.uk/sport/24298310/wolves-vs-aston-villa-live-score-latest-premier-league-updates/
17,,Fury over Celtic fans pro-Palestinian banners after Hamas kill 200 Israelis,https://www.thesun.co.uk/sport/24327109/celtic-ultras-palestinian-banners-israeli-conflict/
18,LIFE'S A PITCH,I live next to a world famous football stadium… match days are a nightmare,https://www.thesun.co.uk/sport/24328777/live-world-famous-stadium-parking-newcastle/
19,TAKING COVER,Footie stars Keane and Delap flee Israel after hiding in panic room for hours,https://www.thesun.co.uk/sport/24327480/israel-hamas-robbie-keane-maccabi-tel-aviv/
20,KRIS CROSS,Man Utd fans mock Brentford star after spotting him celebrating before comeback,https://www.thesun.co.uk/sport/24327670/man-utd-fans-brentford-clown-celebrating-goal-kick-ajer/
21,,Watch England hero get sent off for timewasting in FIRST HALF as fans blast ref,https://www.thesun.co.uk/sport/24328403/watch-england-hero-sent-off-timewasting-fans-greenwood/
22,WHAT A RESULT,Need your footie news INSTANTLY? Join our Sports WhatsApp channel in 3 steps,https://www.thesun.co.uk/sport/24260972/how-join-suns-sports-whatsapp-channel/
23,WELCOME OFFER,Get £30 in free bets for the football this weekend with talkSPORT BET,https://www.thesun.co.uk/sport/football/dream-team/23304459/talksportbet-free-bets-new-customers-betting-offer/
24,POWER UP,Get £40 in free Bet Builder bets when you stake £10 on football with Paddy Power,https://www.thesun.co.uk/sport/football/19782139/paddy-power-free-bets-football/
25,WELCOME OFFER,Get a £50 bonus when you spend £10 on Sun Vegas,https://www.thesun.co.uk/sun-bingo/23376227/welcome-offer-sun-vegas-bonus/
26,WRIGHT ON,Glamorous footballer Madelene Wright strips down and bares bum in cheeky selfie,https://www.thesun.co.uk/sport/24328478/madelene-wright-onlyfans-instagram-leyton-orient/
