,title,subtitles,links
0,ROO ARE YA?,Wayne Rooney reveals awkward interaction on his first day as Birmingham boss,https://www.thesun.co.uk/sport/24388179/awkward-moment-wayne-rooney-birmingham-security-guard/
1,SHOULDER AGONY,Liverpool in injury blow as Robertson suffers suspected dislocated shoulder,https://www.thesun.co.uk/sport/24387685/scotland-andy-robertson-spain-steve-clarke-substitution-injury/
2,KAL IT QUITS,Phillips offered Man City exit with European giants to offer him huge move,https://www.thesun.co.uk/sport/24387369/kalvin-phillips-man-city-bayern-munich-england/
3,ED GAMES,Ex-Prem boss offers Eddie Nketiah chance to switch national teams from England,https://www.thesun.co.uk/sport/24387593/chris-hughton-offers-nketiah-chance-switch-england-ghana/
4,MEGA BOOST,KSI vs Tommy Fury odds boost: Get Tommy Fury at 40/1 to win with Paddy Power,https://www.thesun.co.uk/sport/24377697/ksi-tommy-fury-paddy-power-offer-odds/
5,'WHY?',Mudryk hits back at fan who asked for selfie before hit with Arsenal jibe,https://www.thesun.co.uk/sport/24386901/chelsea-news-mudryk-arsenal-fan-selfie/
6,ROO BLUE,Rooney reveals conversation with NFL legend Tom Brady before joining Birmingham,https://www.thesun.co.uk/sport/24387873/rooney-reveals-conversation-tom-brady-plans-birmingham/
7,FOR G-REAL,Grealish couldn't walk after 'most painful injury' that stunned Man City doctor,https://www.thesun.co.uk/sport/24388168/jack-grealish-injury-manchester-city-england-australia/
8,HEALTH BATTLE,Everton chief Bill Kenwright recovering from surgery on cancerous tumour,https://www.thesun.co.uk/sport/24387013/everton-news-bill-kenwright-cancer-surgery/
9,SPORTY,"Win a stunning Audi RSQ3 Sportback + £1,000 or £47,500 from just 80p with our code",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
10,ROO ARE YA,England XI last time they lost to Australia included Wayne Rooney making debut,https://www.thesun.co.uk/sport/24386701/england-xi-australia-wayne-rooney-francis-jeffers/
11,LIONS DEN,Gareth Southgate fires warning to England stars ahead of Australia clash,https://www.thesun.co.uk/sport/24388457/gareth-southgate-fires-warning-england-australia-clash/
12,ANT PROBE,Man Utd star Antony’s ex arrives in UK to talk to cops over ‘abuse’ claims,https://www.thesun.co.uk/sport/24375538/antony-gabriela-cavallin-police-uk/
13,BIRM PREFERENCE,Wayne Rooney snubbed other managerial opportunities for Birmingham job,https://www.thesun.co.uk/sport/24385816/wayne-rooney-birmingham-city-manchester-united-championship/
14,BIG OFFER,England vs Fiji - Rugby World Cup: Get England at 40/1 to win with Paddy Power,https://www.thesun.co.uk/sport/24377721/england-fiji-rugby-world-cup-paddy-power/
15,PERFECT MATCH,Alex Scott and Jess Glynne leave event together in see-through outfits,https://www.thesun.co.uk/sport/24375907/alex-scott-jess-glynne-awards-together-see-through-outfits/
16,,Maddison apologises to Spurs nutritionists as he names recharge meal,https://www.thesun.co.uk/sport/24378128/james-maddison-spurs-nutrition-meal-fish-chips/
17,EMILE TICKET,Smith Rowe lined up for Prem switch and Arsenal fans have surprising reaction,https://www.thesun.co.uk/sport/24375525/emile-smith-rowe-newcastle-january-transfer-arsenal/
18,JACK THE LAD,Wilshere granted permission by Arsenal to hold talks over first manager's job,https://www.thesun.co.uk/sport/24383250/jack-wilshere-arsenal-colorado-rapids/
19,WHAT A RESULT,Need your footie news INSTANTLY? Join our Sports WhatsApp channel in 3 steps,https://www.thesun.co.uk/sport/24260972/how-join-suns-sports-whatsapp-channel/
20,WELCOME OFFER,Get £30 in free bets for the football this week with talkSPORT BET,https://www.thesun.co.uk/sport/football/dream-team/23304459/talksportbet-free-bets-new-customers-betting-offer/
21,POWER UP,Get £40 in free Bet Builder bets when you stake £10 on football with Paddy Power,https://www.thesun.co.uk/sport/football/19782139/paddy-power-free-bets-football/
22,WELCOME OFFER,Get a £50 bonus when you spend £10 on Sun Vegas,https://www.thesun.co.uk/sun-bingo/23376227/welcome-offer-sun-vegas-bonus/
23,OFF THE MAP,Wrexham trolled for 'abomination' map in doc that puts Brentford by SCOTLAND,https://www.thesun.co.uk/sport/24377366/brentford-map-wrexham-documentary-ryan-reynolds-rob-mcelhenney/
24,GUNNER NEED MEAD,Beth Mead back in full training in for Arsenal before Aston Villa clash,https://www.thesun.co.uk/sport/24386014/mead-full-training-arsenal-emirates-clash-aston-villa-wsl/
25,DAL-IGHTFUL,Dalot risks Ronaldo's wrath as he trolls ex-Utd ace over Piers Morgan interview,https://www.thesun.co.uk/sport/24377727/diogo-dalot-trolls-cristiano-ronaldo-man-utd-piers-morgan/
26,MUM'S THE WORD,Mbappe could be forced to axe his own MUM thanks to little-known new rule,https://www.thesun.co.uk/sport/24377884/kylian-mbappe-mum-agent-psg/
