,title,subtitles,links
0,WEST HAM 1 NEWCASTLE 2,Isak scores twice from close range as Toon come from behind to lead,https://www.thesun.co.uk/sport/24298216/west-ham-vs-newcastle-live-score-latest-premier-league-updates/
1,WOLVES 1 VILLA 1,Hwang Hee-chan opens scoring but Pau Torres equalises within a minute,https://www.thesun.co.uk/sport/24298310/wolves-vs-aston-villa-live-score-latest-premier-league-updates/
2,HUGH BEAUTY,"West Ham target EFL wonderkid, 19, as they look to strengthen defensive options",https://www.thesun.co.uk/sport/24328078/west-ham-transfer-charlie-hughes/
3,TAKING COVER,Footie stars Keane and Delap flee Israel after hiding in panic room for hours,https://www.thesun.co.uk/sport/24327480/israel-hamas-robbie-keane-maccabi-tel-aviv/
4,SPURRED ON,Tottenham close in on Norwich goalkeeper Thompson as wonderkid rejects new deal,https://www.thesun.co.uk/sport/24328290/tottenham-transfer-norwich-dylan-thompson/
5,GAB BLAST,Gabby Agbonlahor demands APOLOGY from ‘useless’ Man Utd for gesture,https://www.thesun.co.uk/sport/24328242/gabby-agbonlahor-demands-apology-man-utd-brentford/
6,,Sky Sports commit shock blunder as they announce Bowen signs new MAN UTD deal,https://www.thesun.co.uk/sport/24328560/sky-sports-jarrod-bowen-manchester-united-west-ham/
7,POWERED UP,Back our Arsenal vs Man City HUGE 20/1 Bet Builder tip PLUS get £40 in free bets,https://www.thesun.co.uk/sport/24283535/arsenal-man-city-bet-builder-free-bets-paddy-power/
8,DERBY DAY,Diletta Leotta puts on leggy display with stunning look to present huge derby,https://www.thesun.co.uk/sport/24328906/tv-host-diletta-leotta-juventus-torino/
9,,Chris Basham injury latest as fans praise Tim Ream's heroics,https://www.thesun.co.uk/sport/24297046/chris-basham-injury-updates-hospital-latest-sheffield-united/
10,CAUGHT OUT,Watch Alisson 'pay tribute to Onana' with 'embarrassing' howler at Brighton,https://www.thesun.co.uk/sport/24328742/alisson-liverpool-mistake-simon-adingra/
11,,Fury over Celtic fans pro-Palestinian banners after Hamas kill 200 Israelis,https://www.thesun.co.uk/sport/24327109/celtic-ultras-palestinian-banners-israeli-conflict/
12,,Watch England hero get sent off for timewasting in FIRST HALF as fans blast ref,https://www.thesun.co.uk/sport/24328403/watch-england-hero-sent-off-timewasting-fans-greenwood/
13,WRIGHT ON,Glamorous footballer Madelene Wright strips down and bares bum in cheeky selfie,https://www.thesun.co.uk/sport/24328478/madelene-wright-onlyfans-instagram-leyton-orient/
14,KRIS CROSS,Man Utd fans mock Brentford star after spotting him celebrating before comeback,https://www.thesun.co.uk/sport/24327670/man-utd-fans-brentford-clown-celebrating-goal-kick-ajer/
15,'TOP BLOKE',Ream's reaction to Basham injury praised as star suffers suspected broken ankle,https://www.thesun.co.uk/sport/24327062/tim-ream-chris-basham-injury/
16,DAN THE MAN,"Sheffield Wednesday set to name former Bayern Munich coach, 34, as new manager",https://www.thesun.co.uk/sport/24326860/sheffield-wednesday-to-name-bayern-munich-coach-manager/
17,GUN SHOW,Arsenal v Man City betting preview including top tips and FREE BETS for huge clash,https://www.thesun.co.uk/sport/24249519/arsenal-manchester-city-betting-tips/
18,ROUD HEALTH,Giroud goes IN GOAL for Milan & makes huge save as fans say 'better than Onana',https://www.thesun.co.uk/sport/24326021/olivier-giroud-goalkeeper-ac-milan-wonder-save/
19,SUN SHINE,Sunderland ace Clarke in line for huge £15m Prem transfer a year after Spurs exit,https://www.thesun.co.uk/sport/24326255/jack-clarke-tottenham-sunderland-brentford-transfer/
20,LUT IT BE,Luton staff fly to South America in bid to seal £5m 'new Moises Caicedo' deal,https://www.thesun.co.uk/sport/24325948/luton-town-moises-caicedo-chelsea-oscar-zambrano/
21,,Real Madrid fans hail Bellingham with iconic song as he scores another two goals,https://www.thesun.co.uk/sport/24325508/jude-bellingham-real-madrid-fans-sing-beatles/
22,WHAT A RESULT,Need your footie news INSTANTLY? Join our Sports WhatsApp channel in 3 steps,https://www.thesun.co.uk/sport/24260972/how-join-suns-sports-whatsapp-channel/
23,WELCOME OFFER,Get £30 in free bets for the football this weekend with talkSPORT BET,https://www.thesun.co.uk/sport/football/dream-team/23304459/talksportbet-free-bets-new-customers-betting-offer/
24,POWER UP,Get £40 in free Bet Builder bets when you stake £10 on football with Paddy Power,https://www.thesun.co.uk/sport/football/19782139/paddy-power-free-bets-football/
25,WELCOME OFFER,Get a £50 bonus when you spend £10 on Sun Vegas,https://www.thesun.co.uk/sun-bingo/23376227/welcome-offer-sun-vegas-bonus/
26,GREAT SCOTT,Alex Scott fans love BBC presenter's latest bold outfit choice on live TV,https://www.thesun.co.uk/sport/24328590/alex-scott-bbc-outfit-jess-glynne/
27,FEEL THE BURN,Newcastle to make new bid for Blackburn wonderkid but face four-horse race,https://www.thesun.co.uk/sport/24325320/newcastle-transfer-news-blackburn-adam-wharton-premier-league/
28,DEVIL'S BELIEF,Ex-Man Utd coach given huge release clause as Premier League clubs circle,https://www.thesun.co.uk/sport/24325370/man-utd-coach-release-clause-kieran-mckenna/
